time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],V_sep_liq[%],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
3490,14.5190818952413,-28.6586610632037,91.0031833780155,141.666057378104,90.759407683328,51.3465325352201,90.381330738159,17.2522790065244,16.3215288734371,-25.9118177467993,15.8827840192858,-26.7505402228475,2.36883833712848,2.27682812871753,2.74978545564681,5.02661358436434,2.12197409404376,0.0152319364503436,0,27.3640790608466,49.9942268871737,6,-20,2.5,438.036464579946,567.230557799267,417.753297561213,237.22566309982,288.569875212647,437.258341829123,5053.84882397629,0.0269262875997993,20.8984389737619,0.840938514353951,0.0323410947159175,17.2522790065244,6.26783318908355,0.673620045967921,0.709195728219555
3500,14.5190642413672,-28.658689760479,91.0030987074005,141.666176632223,90.7593206828734,51.3466645468062,90.3812390783642,17.2525197001324,16.3215260117572,-25.9118231629333,15.8827776517128,-26.7505525181414,2.36884430105394,2.27683033868007,2.7497979886854,5.02662832736547,2.12197497536205,0.0152320024587676,0,27.3642090855886,49.9943805777107,6,-20,2.5,438.036470204128,567.230748396195,417.753990836356,237.226315888234,288.57035752694,437.258420104782,5053.87715609862,0.0269264438298967,20.8987196325069,0.840946177573727,0.0323410770312478,17.2525197001324,6.26783497851864,0.673619259394928,0.709195739184326
3510,14.5190470584255,-28.658717691911,91.0030162876624,141.666292702379,90.7592359952778,51.3467930432004,90.3811498553486,17.2527539905415,16.321523227325,-25.9118284328658,15.8827714547241,-26.7505644840536,2.36885010534541,2.27683248923201,2.74981018731425,5.02664267654626,2.12197583342374,0.0152320667072177,0,27.3643356479843,49.9945301755699,6,-20,2.5,438.036475678656,567.230933909387,417.754665652688,237.226951313619,288.570827001266,437.258496296674,5053.90473397704,0.0269265959046075,20.8989928218455,0.840953636720204,0.0323410598201725,17.2527539905415,6.26783671968697,0.673618493769029,0.709195749691784
3520,14.5190303338286,-28.6587448779864,91.002936059052,141.666405673846,90.7591535591435,51.346918118056,90.3810630044213,17.2529820480117,16.3215205180299,-25.9118335605914,15.8827654237236,-26.7505761294585,2.36885575703617,2.27683458461661,2.74982206365529,5.0266566482719,2.12197666883739,0.0152321292603006,0,27.3644588402735,49.9946757897989,6,-20,2.5,438.036481007512,567.231114474723,417.75532250185,237.227569837479,288.57128397751,437.258570460184,5053.93157769457,0.0269267439343913,20.8992587405379,0.84096089723036,0.0323410430700619,17.2529820480117,6.26783841390701,0.673617748532068,0.709195760582175
3530,14.5190140552262,-28.6587713388103,91.0028579629087,141.666515630274,90.7590733141926,51.347039863271,90.3809784620717,17.2532040396317,16.3215178818038,-25.911838550024,15.8827595542041,-26.7505874630592,2.3688612569294,2.27683662313659,2.74983362252541,5.02667024566199,2.12197748220076,0.0152321901422094,0,27.3645787529741,49.9948175274021,6,-20,2.5,438.036486194597,567.231290225517,417.755961866313,237.228171912758,288.571728791024,437.25864264957,5053.95770695947,0.0269268880276571,20.8995175836518,0.84096796443356,0.0323410267683144,17.2532040396317,6.26784006246979,0.673617023136211,0.709195770854448
3540,14.5189982107987,-28.6587970936144,91.0027819430702,141.666622651681,90.7589952027143,51.3471583667989,90.3808961674948,17.2534201253719,16.3215153166689,-25.9118434049069,15.8827538418531,-26.7505984931824,2.36886660979381,2.27683860701245,2.74984487317906,5.02668348019151,2.12197827408655,0.0152322494018309,0,27.3646954727242,49.9949554907944,6,-20,2.5,438.036491243655,567.231461289325,417.75658420789,237.228757973078,288.572161763011,437.258712917038,5053.98314063593,0.02692702828818,20.8997695379167,0.840974843439909,0.032341010902968,17.2534201253719,6.26784166660932,0.673616317057317,0.709195780748369
3550,14.5189827889427,-28.658822161284,91.002707944374,141.666726816617,90.7589191680254,51.3472737150004,90.3808160609686,17.2536304623114,16.321512820686,-25.9118481289105,15.882748282439,-26.7506092279989,2.36887182173183,2.27684053978986,2.74985582635262,5.02669636614249,2.12197904505765,0.0152323070963058,0,27.3648090845938,49.9950897805345,6,-20,2.5,438.036496158354,567.231627791377,417.757189980046,237.22932844425,288.572583208763,437.258781313711,5054.00789724716,0.0269271648178669,20.9000147866937,0.84098153926098,0.0323409954622775,17.2536304623114,6.26784322753516,0.67361562978061,0.709195790924663
3560,14.518967778323,-28.658846560252,91.0026359129132,141.666828201789,90.7588451547333,51.3473859922532,90.3807380841314,17.2538352039375,16.3215103919627,-25.9118527256161,15.8827428718294,-26.7506196754874,2.36887689515014,2.27684242151657,2.74986648840982,5.02670890992639,2.12197979566507,0.0152323632586117,0,27.3649196716997,49.995220494871,6,-20,2.5,438.036500942299,567.231789853986,417.75777962584,237.229883742372,288.572993436417,437.258847889623,5054.03199489168,0.0269272977162969,20.9002535091479,0.840988056808243,0.0323409804348387,17.2538352039375,6.26784474642758,0.67361496080341,0.709195800964897
3570,14.5189531680382,-28.6588703082693,91.0025657968301,141.666926880998,90.7587731095513,51.3474952797131,90.3806621808403,17.2540344978972,16.3215080286806,-25.9118571984656,15.8827376060516,-26.750629843319,2.36888183008122,2.27684425004451,2.74987686282104,5.02672111286554,2.12198052643816,0.0152324179057878,0,27.3650273139866,49.9953477283017,6,-20,2.5,438.036505598923,567.231947594823,417.758353571422,237.230424267685,288.573392742313,437.258912692801,5054.05545097749,0.0269274270792545,20.9004858776119,0.840994400781852,0.0323409658095741,17.2540344978972,6.26784622442076,0.673614309641766,0.709195809782942
3580,14.5189389473498,-28.6588934228048,91.0024975450277,141.667022926909,90.7587029799738,51.3476016573393,90.3805882957753,17.2542284896751,16.3215057290504,-25.911861550845,15.8827324811938,-26.7506397390469,2.36888663418104,2.27684603058629,2.74988696185707,5.02673299244336,2.12198123789962,0.0152324711036597,0,27.365132090218,49.9954715739304,6,-20,2.5,438.036510131636,567.232101129772,417.758912236654,237.230950414598,288.573781418468,437.258975770717,5054.07828265644,0.0269275530011235,20.900712061887,0.841000575828417,0.0323409515756055,17.2542284896751,6.26784766263093,0.673613675819197,0.709195818591734
