V_sep_liq[%],h_gc_out[kJ/kg],h_gc_mid[kJ/kg],T_mid[degC],T_gc_mid[degC],T_gc_out[degC],Q_heat_s1[kW],h_suc[kJ/kg],T_dis[degC],Q_heat_total[kW],Q_heat_s2[kW],h_dis[kJ/kg],W_comp[kW],h_eva_out[kJ/kg],T_app[K],label,condition
89.5150773953112,221.925379042493,362.682679580554,15.1951012045832,22.5887267975556,9.70254173686641,0.52216441683455,366.072599776486,24.2100380127131,2.04867835582234,1.52651393898779,410.830588272038,0.644625379131544,363.392777056893,9.70254173686641,0,0pct
89.5150773953112,221.925379042493,362.682679580554,15.1951012045832,22.5887267975556,9.70254173686641,0.52216441683455,366.072599776486,24.2100380127131,2.04867835582234,1.52651393898779,410.830588272038,0.644625379131544,363.392777056893,9.70254173686641,0,0pct
89.5150774277294,221.925355982005,362.682662465125,15.19510674836,22.5887245208533,9.70253296943588,0.522198298905899,366.072472702058,24.2099950220656,2.04881598871469,1.52661768980879,410.830424995813,0.644668638967096,363.392655924114,9.70253296943588,0,0pct
89.5150774277294,221.925355982005,362.682662465125,15.19510674836,22.5887245208533,9.70253296943588,0.522198298905899,366.072472702058,24.2099950220656,2.04881598871469,1.52661768980879,410.830424995813,0.644668638967096,363.392655924114,9.70253296943588,0,0pct
89.5150774362287,221.92538628473,362.682597208017,15.1951099279403,22.5887221003128,9.7025440199817,0.522171529077997,366.072430446795,24.209974613118,2.04871005809721,1.52653852901922,410.830355459353,0.644635249635827,363.39263859331,9.7025440199817,0,0pct
89.5150774362287,221.92538628473,362.682597208017,15.1951099279403,22.5887221003128,9.7025440199817,0.522171529077997,366.072430446795,24.209974613118,2.04871005809721,1.52653852901922,410.830355459353,0.644635249635827,363.39263859331,9.7025440199817,0,0pct
89.5150774327422,221.925413978623,362.682576469165,15.1951123048951,22.5887244132895,9.70255450187824,0.522166328801081,366.072441752088,24.2099802717202,2.04868817932118,1.5265218505201,410.830364701021,0.644628402372348,363.392655554747,9.70255450187824,0,0pct
89.5150774327422,221.925413978623,362.682576469165,15.1951123048951,22.5887244132895,9.70255450187824,0.522166328801081,366.072441752088,24.2099802717202,2.04868817932118,1.5265218505201,410.830364701021,0.644628402372348,363.392655554747,9.70255450187824,0,0pct
89.515077429322,221.925423227735,362.682585500331,15.1951137330886,22.5887274823727,9.70255819566921,0.522170203767276,366.07245713451,24.2099901082347,2.04870297092107,1.52653276715379,410.830386639656,0.644633113449118,363.392665261559,9.70255819566921,0,0pct
89.515077429322,221.925423227735,362.682585500331,15.1951137330886,22.5887274823727,9.70255819566921,0.522170203767276,366.07245713451,24.2099901082347,2.04870297092107,1.52653276715379,410.830386639656,0.644633113449118,363.392665261559,9.70255819566921,0,0pct
