h_gc_mid[kJ/kg],T_dis[degC],T_gc_mid[degC],h_suc[kJ/kg],P_eva_out[bar],V_air_outdoor[m/s],h_gc_out[kJ/kg],Q_heat_s2[kW],P_gc_mid[bar],W_comp[kW],binary_label,condition
237.23936549440785,90.75758107751608,90.3794063278364,567.2345534049435,-26.75079739837585,438.03658260821504,288.57999431478873,5.026922944609641,51.34930243278637,2.276874489696868,1,fault
237.23965375123265,90.75754265161571,90.37936584438054,567.234637483556,-26.750802815383707,438.0365850914709,288.58020724979144,5.026929447064838,51.34936069468228,2.2768754635446897,1,fault
237.2399343391473,90.75750524772992,90.37932643767766,567.2347193223313,-26.750808087787593,438.0365875086504,288.5804145174062,5.0269357919893,51.34941740574442,2.276876418512473,1,fault
237.24020746207648,90.75746883857472,90.37928807898884,567.234798982957,-26.750813219452535,438.0365898628378,288.58061627023187,5.026942077697528,51.34947260726017,2.276877397745084,1,fault
237.24047331849707,90.7574333979666,90.37925074071187,567.2348765180069,-26.750818214162532,438.036592151421,288.58081264922265,5.0269479581600764,51.34952633931334,2.2768782431231007,1,fault
237.2407320977952,90.7573989006011,90.37921439619346,567.2349519876298,-26.750823075490075,438.03659438102494,288.5810038014684,5.026953775569353,51.34957864043747,2.276879108365772,1,fault
237.2409839962356,90.75736532025496,90.37917901780739,567.2350254486018,-26.75082780716147,438.0365965510017,288.58118986853685,5.026959483788662,51.34962955023696,2.276879971230219,1,fault
237.24122919281416,90.75733263308547,90.37914458043404,567.23509695283,-26.750832412571807,438.03659866324017,288.5813709833706,5.026965020913099,51.34967910492924,2.2768808024484533,1,fault
237.2414678658016,90.75730081535606,90.37911105906473,567.2351665524626,-26.750836895098015,438.0366007192736,288.58154727782147,5.026970413396192,51.34972734059801,2.2768816127816547,1,fault
237.24170018872348,90.75726984395443,90.37907842934855,567.2352342982799,-26.75084125802689,438.0366027205896,288.58171888021394,5.026975658323392,51.349774292359136,2.2768823997218623,1,fault
237.2419263304484,90.7572396963882,90.37904666758787,567.2353002396944,-26.750845504556167,438.0366046686543,288.5818859154243,5.026980763566441,51.34981999438856,2.2768831656783695,1,fault
237.242146455401,90.75721035074926,90.37901575070093,567.235364424812,-26.750849637798954,438.03660656488495,288.5820485050079,5.026985734394285,51.34986447995488,2.2768839119120887,1,fault
237.24236072369953,90.75718178571266,90.37898565622008,567.2354269004527,-26.750853660785765,438.036608410648,288.58220676732657,5.026990562763162,51.34990778146289,2.2768846336835,1,fault
237.24256929104075,90.75715398053299,90.37895636228848,567.2354877121751,-26.75085757646244,438.0366102073007,288.5823608175037,5.026995270150651,51.34994993041301,2.276885339654884,1,fault
237.24277230690956,90.75712691529296,90.37892784792196,567.2355469036721,-26.750861387656755,438.036611956118,288.58251076606683,5.026999856722143,51.3499909570487,2.2768860288777337,1,fault
237.24296992339785,90.75710056973173,90.3789000917741,567.2356045194376,-26.750865097245,438.036613658424,288.5826567254193,5.027004314568504,51.35003089214388,2.276886696728832,1,fault
237.24316228189036,90.75707492500985,90.37887307399633,567.2356606007961,-26.75086870789994,438.0366153154316,288.58279880014294,5.027008654699134,51.35006976429872,2.2768873472269786,1,fault
237.24334952233085,90.7570499624812,90.37884677494361,567.2357151886629,-26.750872222266963,438.03661692834,288.58293709361897,5.027012885470603,51.3501076018245,2.276887983199272,1,fault
237.24353178084476,90.75702566400797,90.37882117550673,567.2357683228312,-26.750875642918373,438.0366184983313,288.58307170649937,5.027017001918624,51.35014443225612,2.2768886014657177,1,fault
237.24370919002692,90.75700201192375,90.37879625707264,567.2358200420535,-26.75087897235926,438.0366200265441,288.583202736784,5.027021001815164,51.35018028241916,2.276889200109572,1,fault
237.2438818750757,90.7569789751093,90.37877198777392,567.2358706583998,-26.750882213822397,438.03662153391986,288.5833306948752,5.027024935383699,51.350215181190265,2.27688980257383,1,fault
237.2440499087577,90.75695657189965,90.37874838502078,567.2359193551564,-26.750885366465297,438.03662296247217,288.58345438344605,5.027028694785798,51.35024912545089,2.276890354578416,1,fault
237.24421353505804,90.75693476630042,90.37872541149504,567.2359670572292,-26.750888436605493,438.036624371078,288.58357523741154,5.027032383314072,51.35028219158045,2.27689090673522,1,fault
