# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","liquid volume percentage - load=0.86 kg ""1""","liquid volume percentage - load=0.817 kg ""2""","liquid volume percentage - load=0.774 kg ""3""","liquid volume percentage - load=0.688 kg ""5""","liquid volume percentage - load=0.645 kg ""6""","liquid volume percentage - load=0.602 kg ""7""","liquid volume percentage - load=0.559 kg ""8""","liquid volume percentage - load=0.516 kg ""9""","liquid volume percentage - load=0.473 kg ""10""","liquid volume percentage - load=0.43 kg ""11"""
"s","%","%","%","%","%","%","%","%","%","%"
6.65000000000000e+03,8.95001974190074e+01,8.83655024248941e+01,7.99334463850180e+01,6.30693138288511e+01,5.46372475621819e+01,4.62051813029533e+01,3.77731150355874e+01,2.93410487734199e+01,2.09089825100469e+01,1.24769162496401e+01
6.66000000000000e+03,8.95001974190074e+01,8.83655027570793e+01,7.99334464444760e+01,6.30693138877053e+01,5.46372476205895e+01,4.62051813607226e+01,3.77731150929327e+01,2.93410488302018e+01,2.09089825663031e+01,1.24769163052826e+01
6.67000000000000e+03,8.95001974190074e+01,8.83655030804322e+01,7.99334465020431e+01,6.30693139450109e+01,5.46372476774602e+01,4.62051814172836e+01,3.77731151487704e+01,2.93410488854928e+01,2.09089826210796e+01,1.24769163594651e+01
6.68000000000000e+03,8.95001974190074e+01,8.83655033951856e+01,7.99334465580964e+01,6.30693140008082e+01,5.46372477328347e+01,4.62051814720456e+01,3.77731152031387e+01,2.93410489393282e+01,2.09089826744156e+01,1.24769164122238e+01
6.69000000000000e+03,8.95001974190074e+01,8.83655036998925e+01,7.99334466126764e+01,6.30693140551373e+01,5.46372477867540e+01,4.62051815253671e+01,3.77731152560784e+01,2.93410489917482e+01,2.09089827266808e+01,1.24769164638804e+01
6.70000000000000e+03,8.95001974190073e+01,8.83655039981747e+01,7.99334466658201e+01,6.30693141080373e+01,5.46372478392542e+01,4.62051815773040e+01,3.77731153076255e+01,2.93410490427894e+01,2.09089827771341e+01,1.24769165138941e+01
6.71000000000000e+03,8.95001974190074e+01,8.83655042885251e+01,7.99334467175672e+01,6.30693141595449e+01,5.46372478903734e+01,4.62051816278469e+01,3.77731153578171e+01,2.93410490924887e+01,2.09089828263252e+01,1.24769165628600e+01
6.72000000000000e+03,8.95001974190074e+01,8.83655045711562e+01,7.99334467682321e+01,6.30693142097442e+01,5.46372479401477e+01,4.62051816773380e+01,3.77731154066875e+01,2.93410491408803e+01,2.09089828742394e+01,1.24769166102020e+01
6.73000000000000e+03,8.95001974190074e+01,8.83655048447592e+01,7.99334468172858e+01,6.30693142585507e+01,5.46372479886129e+01,4.62051817252570e+01,3.77731154542732e+01,2.93410491879989e+01,2.09089829209000e+01,1.24769166563410e+01
6.74000000000000e+03,8.95001974190074e+01,8.83655051125957e+01,7.99334468650493e+01,6.30693143060895e+01,5.46372480358032e+01,4.62051817719166e+01,3.77731155006065e+01,2.93410492338787e+01,2.09089829663386e+01,1.24769167012749e+01
