time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],V_sep_liq[%],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
5440,14.5184401335638,-28.6597040553464,91.0000998108842,141.670390572995,90.756239300851,51.3513360434835,90.377992713472,17.2610412947677,16.3214254918345,-25.9120134115443,15.882553057808,-26.7509861940861,2.36905521012733,2.27690856339985,2.7502415349527,5.02715009835256,2.12200630735084,0.0152343395064548,0,27.368810302689,49.9998190906414,6,-20,2.5,438.036669298385,567.237486891381,417.778525284603,237.249429567167,288.587426994835,437.261188830105,5054.87986382237,0.0269319756361304,88.3651898740889,0.841217336395971,0.0323404531917788,17.2610412947677,6.26789785773953,0.673591426567775,0.709196142829135
5450,14.5184395812802,-28.6597049528912,91.000097156819,141.670394300972,90.756236573797,51.3513401758676,90.3779898404164,17.261048834976,16.3214254028543,-25.9120135799527,15.8825528590278,-26.7509865779194,2.36905539158644,2.27690862783789,2.75024192143655,5.02715054927444,2.12200633515285,0.0152343415419634,0,27.3688143722508,49.9998239013618,6,-20,2.5,438.036669474597,567.237492853241,417.778546986359,237.249450020735,288.587442102283,437.261191321996,5054.88075103874,0.0269319805310633,88.3651985174816,0.841217576389106,0.0323404526395699,17.261048834976,6.26789791336479,0.673591401944316,0.709196141688692
5460,14.5184390436868,-28.6597058265816,91.0000945733138,141.670397929744,90.7562339192452,51.3513441983329,90.3779870437478,17.261056174634,16.3214253162431,-25.9120137438774,15.8825526655357,-26.7509869515418,2.36905557565994,2.27690869771282,2.75024230628022,5.02715100399304,2.12200636221572,0.0152343435711859,0,27.3688183335755,49.9998285841261,6,-20,2.5,438.036669646101,567.237498656483,417.77856811094,237.2494699303,288.587456807653,437.261193746188,5054.88161465698,0.0269319852958046,88.3652069309842,0.84121780997916,0.032340452102062,17.261056174634,6.26789796750804,0.673591377975618,0.709196142806192
5470,14.518438520393,-28.6597066770119,91.0000920585266,141.670401461991,90.7562313353004,51.3513481138114,90.3779843214654,17.2610633191017,16.3214252319379,-25.9120139034376,15.8825524771912,-26.7509873152246,2.36905575464236,2.27690876554276,2.75024268066169,5.02715144620445,2.12200638855938,0.0152343455451891,0,27.3688221895375,49.9998331423379,6,-20,2.5,438.036669813066,567.237504305362,417.778588673651,237.249489310391,288.587471121771,437.261196104762,5054.88245530665,0.0269319899338275,88.3652151207258,0.841218037376422,0.0323404515788468,17.2610633191017,6.26789802021101,0.673591354644704,0.709196143835771
5480,14.5184380110143,-28.6597075048281,91.0000896106094,141.67040490036,90.7562288200646,51.3513519251746,90.37798167157,17.2610702736001,16.321425149875,-25.912014058754,15.8825522938554,-26.7509876692357,2.36905593092433,2.27690883354774,2.75024304747662,5.02715188102435,2.12200641420185,0.015234347479935,0,27.3688259429654,49.9998375793332,6,-20,2.5,438.036669975592,567.237509804091,417.778608689579,237.24950817517,288.587485055298,437.261198400455,5054.88327360238,0.0269319944485217,88.3652230926922,0.841218258726993,0.0323404510695298,17.2610702736001,6.26789807151244,0.673591331933861,0.70919614545405
5490,14.5184375151815,-28.65970831064,91.0000872277602,141.670408247248,90.7562263716866,51.3513556351826,90.3779790921136,17.2610770431712,16.3214250699952,-25.9120142099383,15.8825521153959,-26.750988013831,2.36905609680588,2.2769088942534,2.75024339790687,5.02715229216026,2.12200643916292,0.0152343493265032,0,27.368829596592,49.9998418983511,6,-20,2.5,438.036670133783,567.237515156553,417.77862817329,237.249526538325,288.587498618386,437.261200635126,5054.88407013841,0.0269319988431657,88.3652308526767,0.84121847418135,0.0323404505737912,17.2610770431712,6.26789812144758,0.673591309826926,0.709196145319345
5500,14.5184370325344,-28.6597090950291,91.0000849082921,141.670411505153,90.7562239884324,51.3513592465368,90.3779765812658,17.2610836327304,16.3214249922407,-25.9120143571004,15.8825519416828,-26.7509883492613,2.36905625594693,2.27690895110663,2.75024373631346,5.02715268742009,2.12200646346014,0.0152343511089876,0,27.3688331530556,49.99984610252,6,-20,2.5,438.036670287761,567.237520366695,417.778647138852,237.249544413176,288.587511820828,437.261202810318,5054.88484549363,0.0269320031209534,88.3652384063154,0.841218683899882,0.0323404500911977,17.2610836327304,6.26789817005576,0.673591288307788,0.709196144490727
5510,14.5184365627209,-28.6597098585887,91.0000826504866,141.670414676344,90.7562216685373,51.351362761858,90.3779741371709,17.2610900470786,16.3214249165548,-25.9120145003474,15.8825517725893,-26.7509886757715,2.3690564170531,2.27690901240368,2.75024407291694,5.02715308532062,2.12200648711184,0.0152343528839335,0,27.3688366149548,49.9998501948891,6,-20,2.5,438.036670437613,567.2375254382,417.77866560012,237.249561812757,288.587524672225,437.261204927119,5054.8856002323,0.0269320072849975,88.3652457590994,0.841218888014936,0.0323404496214437,17.2610900470786,6.26789821737061,0.673591267361003,0.70919614553946
5520,14.5184361054043,-28.6597106018005,91.0000804527346,141.670417763256,90.7562194103464,51.3513661836961,90.377971758082,17.2610962908386,16.3214248428828,-25.9120146397827,15.882551607994,-26.7509889935958,2.36905656613145,2.27690906462906,2.7502443915789,5.02715345620796,2.12200651013456,0.015234354561879,0,27.3688399847823,49.9998541784253,6,-20,2.5,438.036670583523,567.237530374896,417.778683570413,237.249578749599,288.587537181912,437.26120698756,5054.88633489816,0.0269320113382977,88.3652529163281,0.841219086737631,0.0323404491642805,17.2610962908386,6.26789826342666,0.673591246971314,0.709196144242354
5530,14.5184356615276,-28.6597112939749,91.0000783156471,141.67042080372,90.7562172145844,51.3513695067482,90.3779694449422,17.2611023536832,16.3214247715259,-25.9120147748364,15.8825514482213,-26.7509893021081,2.3690567161463,2.27690912075784,2.75024470683985,5.02715382759769,2.1220065325305,0.0152343562228123,0,27.368843256582,49.9998580473056,6,-20,2.5,438.036670758904,567.237535222814,417.778701028802,237.249595196187,288.587549379494,437.261209004058,5054.88704830247,0.0269320152742209,88.3652598718539,0.841219308815624,0.0323404487204186,17.2611023536832,6.2678983078589,0.673591227185926,0.709196144594327
5540,14.5184352285804,-28.6597120273031,91.0000762356372,141.670423674717,90.7562150773632,51.3513727431073,90.3779671933098,17.2611082618072,16.3214247015993,-25.9120149071829,15.8825512924089,-26.750989602973,2.36905686601696,2.27690917823642,2.7502450190787,5.02715419731512,2.12200655434969,0.0152343578702526,0,27.3688464452381,49.9998618150742,6,-20,2.5,438.03667086267,567.237539833114,417.778718028592,237.249611222656,288.587561167556,437.261210949591,5054.88774345067,0.0269320191092913,88.3652666402909,0.841219467228399,0.0323404482874921,17.2611082618072,6.26789835150404,0.673591207892375,0.709196146004212
5550,14.5184348067339,-28.6597127125565,91.0000742103747,141.670426526035,90.7562129963589,51.3513759000172,90.3779650007886,17.2611140216305,16.3214246336237,-25.912015035837,15.8825511405702,-26.7509898961651,2.36905701245109,2.27690923501881,2.75024532323275,5.02715455825156,2.12200657554051,0.0152343594749323,0,27.3688495539541,49.9998654898135,6,-20,2.5,438.036670997625,567.237544390542,417.778734601696,237.249626846416,288.587572714675,437.261212860831,5054.88842113448,0.0269320228481003,88.3652732417477,0.841219650851968,0.0323404478657494,17.2611140216305,6.26789839412767,0.67359118907863,0.709196147457237
5560,14.5184343961237,-28.6597133796838,91.0000722382895,141.670429300258,90.7562109700076,51.351378972947,90.3779628658843,17.2611196277804,16.3214245674986,-25.9120151609887,15.8825509927905,-26.7509901815196,2.36905714385956,2.27690927957093,2.75024560644423,5.02715488601516,2.12200659618752,0.0152343609654977,0,27.3688525797779,49.9998690670025,6,-20,2.5,438.036671128839,567.237548825576,417.778750735679,237.249642053478,288.587583944375,437.261214700987,5054.88908078654,0.0269320264875086,88.365279667401,0.841219829458112,0.0323404474552262,17.2611196277804,6.26789843556312,0.673591170766081,0.709196145545689
