# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","input signal at port 1 - load=0.86 kg ""1""","input signal at port 1 - load=0.817 kg ""2""","input signal at port 1 - load=0.774 kg ""3""","input signal at port 1 - load=0.688 kg ""5""","input signal at port 1 - load=0.645 kg ""6""","input signal at port 1 - load=0.602 kg ""7""","input signal at port 1 - load=0.559 kg ""8""","input signal at port 1 - load=0.516 kg ""9""","input signal at port 1 - load=0.473 kg ""10""","input signal at port 1 - load=0.43 kg ""11"""
"s","null","null","null","null","null","null","null","null","null","null"
3.35000000000000e+03,2.30858893154945e-02,2.68806657547754e-02,2.69230362275583e-02,2.69231034768758e-02,2.69231971173355e-02,2.69232929616520e-02,2.69233912237608e-02,2.69234916984879e-02,2.69235945172012e-02,2.69236994841299e-02
3.36000000000000e+03,2.30858893154945e-02,2.68820332250108e-02,2.69232788895486e-02,2.69233443596684e-02,2.69234355170544e-02,2.69235288173628e-02,2.69236244714419e-02,2.69237222792385e-02,2.69238223527154e-02,2.69239245487421e-02
3.37000000000000e+03,2.30858893154945e-02,2.68833644331324e-02,2.69235151001837e-02,2.69235788391524e-02,2.69236675775999e-02,2.69237584008924e-02,2.69238515160859e-02,2.69239467277054e-02,2.69240441453587e-02,2.69241436274037e-02
3.38000000000000e+03,2.30858893154945e-02,2.68846603385566e-02,2.69237450315570e-02,2.69238070858141e-02,2.69238934680064e-02,2.69239818799159e-02,2.69240725235822e-02,2.69241652078628e-02,2.69242600408684e-02,2.69243568818586e-02
3.39000000000000e+03,2.30858893154945e-02,2.68859218754528e-02,2.69239688486063e-02,2.69240292623341e-02,2.69241133519610e-02,2.69241994018323e-02,2.69242876553623e-02,2.69243778783031e-02,2.69244701817506e-02,2.69245644635307e-02
3.40000000000000e+03,2.30858893154945e-02,2.68871499532724e-02,2.69241867146034e-02,2.69242455304464e-02,2.69243273895087e-02,2.69244111560774e-02,2.69244970671704e-02,2.69245848933923e-02,2.69246747451128e-02,2.69247665264563e-02
3.41000000000000e+03,2.30858893154945e-02,2.68883454551625e-02,2.69243987735003e-02,2.69244560481322e-02,2.69245357357647e-02,2.69246172780048e-02,2.69247009096831e-02,2.69247864050525e-02,2.69248738702134e-02,2.69249632150654e-02
3.42000000000000e+03,2.30858893154945e-02,2.68895092437385e-02,2.69246051949094e-02,2.69246609692120e-02,2.69247385419595e-02,2.69248179198824e-02,2.69248993296068e-02,2.69249825578783e-02,2.69250677002414e-02,2.69251546715162e-02
3.43000000000000e+03,2.30858893154945e-02,2.68906421647237e-02,2.69248061420328e-02,2.69248604419750e-02,2.69249359552912e-02,2.69250132253498e-02,2.69250924626013e-02,2.69251734950635e-02,2.69252563747363e-02,2.69253410374685e-02
3.44000000000000e+03,2.30858893154945e-02,2.68917450165219e-02,2.69250017451852e-02,2.69250546097003e-02,2.69251281190820e-02,2.69252033381693e-02,2.69252804708037e-02,2.69253593531158e-02,2.69254400320226e-02,2.69255224469066e-02
