h_dis[kJ/kg],Q_heat_s2[kW],P_eva_out[bar],h_eva_in[kJ/kg],T_eva_in[degC],Q_heat_total[kW],h_suc[kJ/kg],T_mid[degC],W_comp[kW],P_suc[bar],h_gc_out[kJ/kg],Q_heat_s1[kW],T_gc_mid[degC],P_gc_mid[bar],T_suc[degC],T_dis[degC],P_dis[bar],T_gc_out[degC],T_eva_out[degC],P_eva_in[bar],COP[null],label,condition
362.68258550033096,2.0487029709210667,-23.173552096715586,363.3926652615593,17.81618211865815,3.178091426236942,410.8303866396564,20.390694477595275,0.522170203767276,-24.121742582749903,262.4554239040251,1.5265327671537907,60.5520821054334,22.588727482372686,60.872679196463984,60.774344774938164,24.209990108234702,17.995579008050736,0.6446331134491177,-22.856388517794727,0.010845151625019598,0,0pct
362.68259602755,2.0487256037930583,-23.1735519067058,363.39266434883,17.816182225739745,3.17809128036241,410.8303947075528,20.390695787628545,0.5221759216196409,-24.121742362627856,262.45542661777915,1.5265496821734177,60.552084275956986,22.58872901545368,60.872681349812936,60.774346934635,24.20999431617804,17.995579111545972,0.6446402645676792,-22.856388335499727,0.010845270935232106,0,0pct
362.68259602755,2.0487256037930583,-23.1735519067058,363.39266434883,17.816182225739745,3.17809128036241,410.8303947075528,20.390695787628545,0.5221759216196409,-24.121742362627856,262.45542661777915,1.5265496821734177,60.552084275956986,22.58872901545368,60.872681349812936,60.774346934635,24.20999431617804,17.995579111545972,0.6446402645676792,-22.856388335499727,0.010845270935232106,0,0pct
362.6825991851526,2.048711367537784,-23.173551873025527,363.3926609412228,17.816182244720544,3.1780912530059866,410.83039305884057,20.390696064903693,0.5221722410144236,-24.12174233379403,262.45542488982534,1.5265391265233603,60.55208466679476,22.58872929229381,60.87268173819809,60.774347324627925,24.20999432094618,17.995579131255507,0.6446357906180377,-22.856388300783664,0.010845195573950948,0,0pct
362.6825991851526,2.048711367537784,-23.173551873025527,363.3926609412228,17.816182244720544,3.1780912530059866,410.83039305884057,20.390696064903693,0.5221722410144236,-24.12174233379403,262.45542488982534,1.5265391265233603,60.55208466679476,22.58872929229381,60.87268173819809,60.774347324627925,24.20999432094618,17.995579131255507,0.6446357906180377,-22.856388300783664,0.010845195573950948,0,0pct
362.68259841516857,2.048721838804882,-23.173551875206584,363.392659578846,17.81618224349138,3.1780912598045066,410.83039077165313,20.390696042508125,0.5221748996606487,-24.12174234282048,262.45542416363503,1.5265469391442337,60.55208457101335,22.588729226043935,60.87268164562463,60.77434723129977,24.209993668571315,17.99557913096408,0.6446390840679964,-22.85638830129696,0.01084525113414306,0,0pct
362.68259841516857,2.048721838804882,-23.173551875206584,363.392659578846,17.81618224349138,3.1780912598045066,410.83039077165313,20.390696042508125,0.5221748996606487,-24.12174234282048,262.45542416363503,1.5265469391442337,60.55208457101335,22.588729226043935,60.87268164562463,60.77434723129977,24.209993668571315,17.99557913096408,0.6446390840679964,-22.85638830129696,0.01084525113414306,0,0pct
362.6825975829818,2.0487412016460147,-23.173551873124406,363.39265930115033,17.816182244664812,3.178091263157738,410.830389819306,20.390696037284496,0.5221798372354678,-24.121742343181158,262.45542422217966,1.526561364410547,60.55208453053604,22.588729198463167,60.8726816074682,60.77434719244596,24.209993397339986,17.995579132492377,0.6446451759885568,-22.85638829860505,0.010845353711598015,0,0pct
362.6825975829818,2.0487412016460147,-23.173551873124406,363.39265930115033,17.816182244664812,3.178091263157738,410.830389819306,20.390696037284496,0.5221798372354678,-24.121742343181158,262.45542422217966,1.526561364410547,60.55208453053604,22.588729198463167,60.8726816074682,60.77434719244596,24.209993397339986,17.995579132492377,0.6446451759885568,-22.85638829860505,0.010845353711598015,0,0pct
362.6825972838768,2.0487249259317126,-23.17355186743873,363.39265944515415,17.816182247869026,3.1780912615009087,410.8303898157535,20.3906960620468,0.522175693037913,-24.12174233705835,262.45542452927464,1.5265492328937995,60.55208456163587,22.58872922087244,60.872681639122895,60.77434722401453,24.209993429516544,17.995579135663345,0.6446400551015539,-22.85638829301976,0.010845267572593308,0,0pct
362.6825972838768,2.0487249259317126,-23.17355186743873,363.39265944515415,17.816182247869026,3.1780912615009087,410.8303898157535,20.3906960620468,0.522175693037913,-24.12174233705835,262.45542452927464,1.5265492328937995,60.55208456163587,22.58872922087244,60.872681639122895,60.77434722401453,24.209993429516544,17.995579135663345,0.6446400551015539,-22.85638829301976,0.010845267572593308,0,0pct
362.68259726369735,2.0487077487940795,-23.173551862368328,363.3926595660346,17.81618225072649,3.1780912588403294,410.8303899873389,20.390696089627795,0.5221713170351563,-24.12174233117443,262.45542474926214,1.5265364317589232,60.55208460436302,22.588729251229953,60.87268168178977,60.77434726678007,24.209993515743175,17.995579138429214,0.6446346507814389,-22.856388288148,0.010845176642516358,0,0pct
362.68259726369735,2.0487077487940795,-23.173551862368328,363.3926595660346,17.81618225072649,3.1780912588403294,410.8303899873389,20.390696089627795,0.5221713170351563,-24.12174233117443,262.45542474926214,1.5265364317589232,60.55208460436302,22.588729251229953,60.87268168178977,60.77434726678007,24.209993515743175,17.995579138429214,0.6446346507814389,-22.856388288148,0.010845176642516358,0,0pct
362.68259733737096,2.0486993210347224,-23.173551858882973,363.3926596187061,17.816182252690695,3.1780912566347355,410.8303901327481,20.390696110675886,0.5221691695399883,-24.121742327087677,262.4554248646726,1.526530151494734,60.55208463842253,22.58872927535185,60.872681715671206,60.774347300761285,24.20999358643928,17.995579140323052,0.6446319993983054,-22.8563882848122,0.010845132024206191,0,0pct
362.68259733737096,2.0486993210347224,-23.173551858882973,363.3926596187061,17.816182252690695,3.1780912566347355,410.8303901327481,20.390696110675886,0.5221691695399883,-24.121742327087677,262.4554248646726,1.526530151494734,60.55208463842253,22.58872927535185,60.872681715671206,60.774347300761285,24.20999358643928,17.995579140323052,0.6446319993983054,-22.8563882848122,0.010845132024206191,0,0pct
362.68259740168173,2.0486964008831285,-23.173551857217603,363.39265961800015,17.816182253629226,3.178091255473723,410.83039019176687,20.390696121516495,0.5221684250639328,-24.121742325181486,262.4554248984509,1.526527975819196,60.55208465591311,22.58872928772547,60.87268173304549,60.77434731819237,24.209993618914208,17.9955791412338,0.644631080795618,-22.85638828320802,0.01084511656308907,0,0pct
362.68259740168173,2.0486964008831285,-23.173551857217603,363.39265961800015,17.816182253629226,3.178091255473723,410.83039019176687,20.390696121516495,0.5221684250639328,-24.121742325181486,262.4554248984509,1.526527975819196,60.55208465591311,22.58872928772547,60.87268173304549,60.77434731819237,24.209993618914208,17.9955791412338,0.644631080795618,-22.85638828320802,0.01084511656308907,0,0pct
362.6825974339491,2.0487089689702307,-23.173551856523343,363.39265960326566,17.816182254020486,3.178091254992821,410.8303902022794,20.390696126212216,0.5221716281259966,-24.12174232443266,262.4554249027469,1.526537340844234,60.55208466318675,22.58872929287673,60.87268174035757,60.77434732544912,24.209993629100666,17.99557914161955,0.6446350354954986,-22.856388282528567,0.010845183093615462,0,0pct
362.6825974339491,2.0487089689702307,-23.173551856523343,363.39265960326566,17.816182254020486,3.178091254992821,410.8303902022794,20.390696126212216,0.5221716281259966,-24.12174232443266,262.4554249027469,1.526537340844234,60.55208466318675,22.58872929287673,60.87268174035757,60.77434732544912,24.209993629100666,17.99557914161955,0.6446350354954986,-22.856388282528567,0.010845183093615462,0,0pct
362.68259744430446,2.0487182201216965,-23.173551856258033,363.39265959082337,17.816182254170005,3.1780912548321387,410.83039019628467,20.3906961279892,0.5221739858787415,-24.12174232417655,262.4554249006732,1.5265442342429547,60.55208466567824,22.588729294648545,60.872681742903055,60.77434732794514,24.209993630301145,17.995579141771046,0.6446379464424492,-22.856388282261747,0.010845232066370622,0,0pct
362.68259744430446,2.0487182201216965,-23.173551856258033,363.39265959082337,17.816182254170005,3.1780912548321387,410.83039019628467,20.3906961279892,0.5221739858787415,-24.12174232417655,262.4554249006732,1.5265442342429547,60.55208466567824,22.588729294648545,60.872681742903055,60.77434732794514,24.209993630301145,17.995579141771046,0.6446379464424492,-22.856388282261747,0.010845232066370622,0,0pct
