h_eva_in[kJ/kg],P_dis[bar],P_gc_out[bar],Q_heat_s1[kW],T_air_in[degC],Q_heat_s2[kW],h_gc_mid[kJ/kg],T_eva_out[degC],T_mid[degC],W_comp[kW],P_gc_mid[bar],h_dis[kJ/kg],h_gc_out[kJ/kg],P_suc[bar],T_dis[degC],T_eva_in[degC],P_eva_out[bar],T_suc[degC],label,condition
435.82173208052177,136.43591535500548,11.73258561633105,2.327688646130759,23.16589415636849,4.552860046586121,222.95087117229548,2.1215178528132066,45.28816405931258,2.2251714004553613,47.49882107327403,395.1562546480904,277.4086866368693,-28.287102796515114,92.66313448187432,16.15376982477819,-26.23053025444824,92.84986426139056,0,0pct
435.8217320805218,136.43591535500514,11.732585616330198,2.3276886477784706,23.165894156368665,4.552860049808958,222.95087117229383,2.121517854314962,45.28816405931264,2.225171402030488,47.49882107327392,395.15625464809006,277.4086866368672,-28.287102796515057,92.66313448187422,16.153769824778205,-26.230530254448208,92.8498642613905,0,0pct
435.8217320805212,136.43591535500548,11.73258561633412,2.3276886461307447,23.165894156368665,4.552860046586103,222.95087117229644,2.121517852813209,45.28816405931264,2.2251714004553578,47.49882107327409,395.1562546480906,277.4086866368687,-28.287102796515622,92.66313448187424,16.153769824778184,-26.23053025444824,92.84986426139048,0,0pct
435.82173208052063,136.43591535500474,11.732585616333097,2.3276886477784653,23.165894156368665,4.552860049808949,222.9508711722948,2.1215178543149924,45.28816405931264,2.225171402030484,47.49882107327442,395.15625464809017,277.40868663686814,-28.28710279651736,92.66313448187438,16.153769824778212,-26.230530254448183,92.84986426139064,0,0pct
435.82173208052046,136.43591535500514,11.732585616332868,2.3276886477784746,23.165894156368665,4.552860049808953,222.9508711722948,2.1215178543149755,45.28816405931264,2.2251714020304805,47.4988210732742,395.156254648091,277.40868663686933,-28.28710279651665,92.6631344818744,16.153769824778205,-26.230530254448208,92.84986426139069,0,0pct
435.82173208052114,136.43591535500508,11.73258561633213,2.327688647778481,23.16589415636872,4.552860049808936,222.9508711722957,2.1215178543149538,45.28816405931264,2.2251714020304565,47.4988210732746,395.1562546480924,277.40868663686854,-28.287102796515168,92.66313448187432,16.15376982477819,-26.23053025444824,92.8498642613906,0,0pct
435.82173208052194,136.43591535500474,11.732585616332416,2.3276886477784493,23.165894156368665,4.552860049808933,222.950871172296,2.121517854314971,45.28816405931258,2.225171402030484,47.49882107327403,395.15625464809017,277.4086866368692,-28.287102796517075,92.66313448187437,16.1537698247782,-26.230530254448208,92.84986426139064,0,0pct
435.8217320805206,136.43591535500565,11.732585616330423,2.327688649426157,23.165894156368665,4.552860053031775,222.9508711722948,2.1215178558167245,45.28816405931264,2.2251714036056183,47.498821073273405,395.15625464809034,277.408686636871,-28.287102796516194,92.66313448187432,16.15376982477819,-26.23053025444824,92.84986426139064,0,0pct
435.8217320805194,136.4359153550041,11.732585616332187,2.3276886494261664,23.165894156368665,4.552860053031766,222.9508711722948,2.121517855816707,45.28816405931264,2.2251714036056005,47.4988210732738,395.15625464809057,277.4086866368701,-28.28710279651668,92.66313448187421,16.15376982477819,-26.23053025444824,92.8498642613905,0,0pct
435.8217320805204,136.43591535500445,11.73258561633304,2.3276886477784324,23.165894156368665,4.552860049808912,222.95087117229716,2.12151785431494,45.28816405931258,2.2251714020304783,47.49882107327363,395.15625464809045,277.40868663686854,-28.287102796515345,92.66313448187411,16.15376982477819,-26.23053025444824,92.8498642613904,0,0pct
435.8217320805192,136.43591535500434,11.732585616334688,2.327688646130756,23.16589415636861,4.552860046586112,222.9508711722955,2.1215178528131924,45.28816405931252,2.225171400455356,47.498821073274485,395.15625464809,277.4086866368718,-28.287102796516137,92.6631344818744,16.153769824778184,-26.23053025444824,92.84986426139064,0,0pct
435.821732080521,136.43591535500593,11.732585616328777,2.327688647778476,23.165894156368665,4.552860049808965,222.9508711722939,2.1215178543149547,45.28816405931264,2.2251714020304885,47.49882107327426,395.15625464809057,277.40868663686774,-28.287102796515768,92.66313448187432,16.153769824778205,-26.230530254448208,92.8498642613906,0,0pct
435.8217320805196,136.4359153550049,11.732585616331503,2.327688647778467,23.16589415636838,4.552860049808949,222.9508711722948,2.1215178543149533,45.28816405931252,2.2251714020304822,47.49882107327432,395.1562546480904,277.4086866368712,-28.287102796516194,92.6631344818744,16.153769824778177,-26.23053025444824,92.8498642613907,0,0pct
435.8217320805218,136.43591535500576,11.732585616333608,2.327688646130732,23.16589415636849,4.552860046586099,222.95087117229644,2.1215178528131915,45.28816405931258,2.2251714004553675,47.498821073273454,395.1562546480896,277.4086866368701,-28.28710279651557,92.66313448187432,16.1537698247782,-26.230530254448208,92.8498642613906,0,0pct
435.8217320805212,136.4359153550045,11.73258561633304,2.327688646130771,23.165894156368665,4.5528600465861295,222.9508711722939,2.1215178528131875,45.28816405931264,2.225171400455358,47.498821073273966,395.1562546480896,277.4086866368687,-28.28710279651497,92.66313448187422,16.153769824778205,-26.230530254448208,92.8498642613905,0,0pct
435.8217320805206,136.43591535500406,11.73258561633486,2.327688646130724,23.165894156368665,4.55286004658606,222.9508711722985,2.1215178528132173,45.28816405931258,2.225171400455337,47.49882107327409,395.15625464809045,277.40868663686933,-28.28710279651725,92.66313448187432,16.1537698247782,-26.230530254448208,92.8498642613906,0,0pct
435.8217320805208,136.43591535500622,11.73258561633412,2.327688647778466,23.16589415636861,4.552860049808963,222.95087117229437,2.1215178543149658,45.28816405931258,2.2251714020304973,47.49882107327409,395.1562546480902,277.4086866368696,-28.287102796515853,92.66313448187438,16.153769824778184,-26.23053025444824,92.84986426139064,0,0pct
435.8217320805208,136.43591535500377,11.732585616332868,2.3276886494261317,23.16589415636872,4.552860053031742,222.9508711722964,2.1215178558167063,45.28816405931258,2.2251714036056103,47.49882107327369,395.1562546480896,277.4086866368699,-28.287102796515484,92.66313448187405,16.153769824778184,-26.23053025444824,92.84986426139037,0,0pct
435.8217320805206,136.4359153550056,11.732585616332074,2.3276886477784533,23.16589415636872,4.552860049808933,222.95087117229593,2.121517854314959,45.28816405931258,2.22517140203048,47.49882107327403,395.156254648091,277.40868663687013,-28.28710279651452,92.66313448187401,16.153769824778184,-26.23053025444824,92.84986426139027,0,0pct
435.82173208052023,136.43591535500525,11.732585616332926,2.327688647778488,23.16589415636855,4.552860049808979,222.9508711722932,2.121517854314956,45.28816405931264,2.2251714020304907,47.49882107327426,395.15625464809045,277.40868663686814,-28.28710279651446,92.66313448187437,16.153769824778184,-26.23053025444824,92.84986426139064,0,0pct
435.8217320805212,136.43591535500371,11.732585616332583,2.327688646130767,23.165894156368665,4.5528600465861215,222.9508711722943,2.1215178528131844,45.28816405931264,2.225171400455355,47.49882107327369,395.15625464808966,277.4086866368674,-28.287102796516194,92.66313448187417,16.153769824778205,-26.230530254448208,92.84986426139042,0,0pct
435.82173208052166,136.43591535500633,11.732585616331164,2.3276886494261424,23.16589415636861,4.552860053031778,222.95087117229528,2.121517855816741,45.28816405931264,2.225171403605636,47.498821073274485,395.15625464808977,277.4086866368699,-28.28710279651648,92.66313448187448,16.153769824778205,-26.230530254448208,92.84986426139075,0,0pct
435.8217320805202,136.43591535500462,11.732585616332416,2.327688647778487,23.16589415636861,4.552860049808949,222.95087117229437,2.1215178543149578,45.28816405931252,2.2251714020304623,47.498821073274144,395.1562546480913,277.4086866368664,-28.287102796516365,92.6631344818744,16.153769824778205,-26.230530254448208,92.84986426139064,0,0pct
435.8217320805199,136.43591535500434,11.732585616333097,2.327688647778434,23.16589415636849,4.5528600498089355,222.95087117229556,2.1215178543149404,45.28816405931264,2.2251714020305,47.49882107327409,395.15625464808863,277.4086866368716,-28.287102796514745,92.6631344818745,16.153769824778184,-26.23053025444824,92.84986426139075,0,0pct
