time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
6910.0,14.5184194363005,-28.6597376919512,91.0000003414407,141.670530279073,90.7561370959896,51.3514909123371,90.3778850368575,17.2613238831714,16.3214221579792,-25.9120197213661,15.8825456089018,-26.7510005775097,2.36906226298428,2.27691122099774,2.75025631230904,5.02716753330678,2.12200734942868,0.0152344174158469,0,27.3689628175052,49.9999993812497,6,-20,2.5,438.036675901633,567.237710316523,417.779338601614,237.250196118738,288.587993178293,437.261282139552,5054.91311408934,0.0269321590863368,0.841226329939246,0.0323404324989838,17.2613238831714,6.26789994191191,0.673590503751873,0.709196175681172
6920.0,14.5184194344331,-28.6597376949876,91.0000003324599,141.670530291676,90.7561370867622,51.3514909263165,90.377885027136,17.2613239086826,16.3214221576792,-25.9120197219339,15.8825456082304,-26.7510005788062,2.36906224971619,2.2769112078737,2.75025629750097,5.02716750537467,2.12200734952276,0.0152344173334652,0,27.3689628312734,49.9999993975243,6,-20,2.5,438.036675902226,567.237710336682,417.779338675034,237.250196187942,288.587993229394,437.261282147922,5054.91311709063,0.0269321591028986,0.841226330749013,0.0323404324970795,17.2613239086826,6.26789994209953,0.673590503668563,0.709196171521662
6930.0,14.5184194326149,-28.659737697942,91.0000003237152,141.670530303949,90.7561370777771,51.3514909399287,90.37788501767,17.2613239335234,16.3214221573871,-25.9120197224867,15.8825456075766,-26.7510005800685,2.36906224151101,2.27691119962548,2.75025628855488,5.02716748818036,2.12200734961441,0.0152344172835637,0,27.3689628446793,49.9999994133707,6,-20,2.5,438.036675902808,567.237710356314,417.779338746523,237.250196255323,288.58799327915,437.261282156076,5054.91312001299,0.0269321591190249,0.841226331539652,0.0323404324952925,17.2613239335234,6.26789994228217,0.673590503587444,0.709196168882717
6940.0,14.5184194308445,-28.6597377008207,91.0000003152002,141.670530315895,90.756137069028,51.3514909531832,90.3778850084527,17.2613239577097,16.3214221571027,-25.912019723025,15.88254560694,-26.7510005812977,2.36906223206113,2.27691119019041,2.75025627814861,5.02716746833902,2.12200734970364,0.0152344172255828,0,27.3689628577329,49.9999994288004,6,-20,2.5,438.036675903371,567.237710375425,417.779338816135,237.250196320933,288.587993327598,437.261282164012,5054.91312285849,0.026932159134727,0.841226332307485,0.0323404324934984,17.2613239577097,6.26789994245999,0.673590503508463,0.709196165875957
6950.0,14.5184194291206,-28.6597377036215,91.0000003069092,141.670530327531,90.7561370605092,51.3514909660884,90.3778849994778,17.261323981264,16.3214221568257,-25.9120197235492,15.8825456063202,-26.7510005824946,2.36906222641183,2.27691118441745,2.75025627213957,5.02716745655703,2.12200734979053,0.0152344171919687,0,27.3689628704429,49.9999994438243,6,-20,2.5,438.036675903921,567.237710394035,417.779338883914,237.25019638482,288.587993374775,437.261282171744,5054.91312562916,0.0269321591500162,0.841226333057335,0.0323404324917931,17.261323981264,6.26789994263316,0.673590503431574,0.709196164011631
6960.0,14.5184194274425,-28.6597377063003,91.0000002988273,141.670530338921,90.7561370522055,51.3514909786531,90.3778849907301,17.2613240041932,16.3214221565563,-25.9120197240591,15.8825456057169,-26.7510005836596,2.36906221825551,2.27691117624458,2.75025626320554,5.02716743945012,2.12200734987532,0.0152344171421591,0,27.3689628828172,49.9999994584533,6,-20,2.5,438.036675904512,567.237710412236,417.779338949928,237.250196447023,288.587993420803,437.261282179336,5054.91312832695,0.0269321591649026,0.841226333834953,0.0323404324900878,17.2613240041932,6.26789994280097,0.673590503356753,0.709196161401474
6970.0,14.5184194258078,-28.6597377090033,91.0000002909688,141.670530349884,90.7561370441309,51.3514909908876,90.3778849822232,17.2613240265213,16.3214221562934,-25.9120197245567,15.8825456051291,-26.7510005847946,2.36906221768311,2.27691117536825,2.75025626306229,5.02716743843054,2.12200734995765,0.0152344171410549,0,27.3689628948676,49.9999994726952,6,-20,2.5,438.036675904982,567.237710429797,417.779339014179,237.250196507592,288.587993465457,437.261282186657,5054.91313095376,0.0269321591793975,0.841226334498998,0.0323404324884677,17.2613240265213,6.26789994296542,0.673590503283793,0.709196161065876
6980.0,14.5184194242163,-28.6597377115903,91.0000002833191,141.670530360625,90.7561370362708,51.3514910028013,90.3778849739421,17.2613240482599,16.3214221560377,-25.9120197250406,15.8825456045568,-26.7510005858996,2.36906221334176,2.27691117087881,2.7502562585293,5.02716742940812,2.12200735003784,0.0152344171156426,0,27.3689629066016,49.9999994865643,6,-20,2.5,438.036675905488,567.237710446976,417.77933907674,237.250196566565,288.58799350899,437.261282193756,5054.9131335115,0.0269321591935114,0.841226335190044,0.0323404324868761,17.2613240482599,6.26789994312561,0.673590503212829,0.709196159606378
6990.0,14.5184194226668,-28.6597377141092,91.0000002758698,141.670530371088,90.7561370286167,51.3514910144025,90.3778849658781,17.261324069433,16.3214221557888,-25.9120197255117,15.8825456039997,-26.7510005869754,2.36906221153796,2.27691116883651,2.75025625692881,5.02716742576532,2.12200735011588,0.015234417106482,0,27.3689629180263,49.9999995000695,6,-20,2.5,438.036675905982,567.237710463709,417.77933913766,237.250196623989,288.587993551391,437.2612822007,5054.91313600196,0.0269321592072541,0.841226335862554,0.0323404324853698,17.261324069433,6.26789994328147,0.673590503143688,0.709196158910698
7000.0,14.5184194211583,-28.6597377164878,91.0000002686057,141.670530381447,90.7561370211516,51.3514910256994,90.3778849580138,17.261324090042,16.321422155547,-25.9120197259695,15.8825456034572,-26.7510005880228,2.36906231697189,2.27691126986929,2.750256379806,5.02716764967529,2.12200735019117,0.015234417786842,0,27.3689629291489,49.9999995132222,6,-20,2.5,438.036675906548,567.237710480217,417.779339197012,237.250196679902,288.587993592916,437.261282207541,5054.91313842689,0.0269321592206352,0.84122633659095,0.0323404324838634,17.261324090042,6.26789994343238,0.673590503075985,0.709196190321202
